Locus,Class,Ref,Ho,Hs,FisWC,FstWC,AR,SW
One_ACBP_79,SNP,a,0.396,0.472,0.158,0.027,2.0,0.677
One_agt_132,SNP,a,0.438,0.461,0.047,0.031,2.0,0.667
One_aldB_152,SNP,a,0.298,0.291,-0.023,0.127,2.0,0.506
One_apoe_83,SNP,a,0.364,0.376,0.032,0.027,2.0,0.575
One_c3_98,SNP,a,0.076,0.073,-0.037,0.007,2.0,0.161
One_CD9_269,SNP,a,0.423,0.432,0.018,0.010,2.0,0.627
One_cetn1_167,SNP,a,0.471,0.480,0.017,0.015,2.0,0.679
One_CFP1,SNP,a,0.225,0.225,0.002,0.021,2.0,0.393
One_cin_177,SNP,a,0.459,0.464,0.008,0.001,2.0,0.657
One_ctgf_301,SNP,a,0.021,0.021,0.015,0.006,1.6,0.059
One_E2,SNP,a,0.333,0.341,0.024,0.013,2.0,0.530
One_gdh_212,SNP,a,0.386,0.404,0.043,0.010,2.0,0.599
One_GHII_2461,SNP,a,0.111,0.118,0.043,0.006,2.0,0.233
One_ghsR_66,SNP,a,0.382,0.379,-0.008,0.048,2.0,0.583
One_GPDH,SNP,a,0.483,0.489,0.007,0.005,2.0,0.685
One_GPDH2,SNP,a,0.074,0.077,0.042,0.006,2.0,0.168
One_GPH_414,SNP,a,0.472,0.478,0.017,0.022,2.0,0.681
One_hcs71_220,SNP,a,0.120,0.125,0.039,0.017,2.0,0.249
One_HGFA,SNP,a,0.344,0.358,0.041,0.034,2.0,0.559
One_HpaI_436,SNP,a,0.442,0.423,-0.044,0.004,2.0,0.615
One_HpaI_99,SNP,a,0.472,0.481,0.019,0.042,2.0,0.693
One_Hsp47,SNP,a,0.360,0.364,0.015,0.004,2.0,0.553
One_IL8r_362,SNP,a,0.104,0.106,0.020,0.013,2.0,0.219
One_KCT1_453,SNP,a,0.130,0.136,0.039,0.012,2.0,0.262
One_KPNA_422,SNP,a,0.306,0.310,0.015,0.026,2.0,0.495
One_LEI_87,SNP,a,0.311,0.315,0.011,0.022,2.0,0.501
One_lpp1_44,SNP,a,0.462,0.474,0.024,0.024,2.0,0.678
One_MHC2_190,SNP,a,0.433,0.454,0.045,0.050,2.0,0.671
One_MHC2_251,SNP,a,0.417,0.433,0.035,0.065,2.0,0.656
One_Mkpro_129,SNP,a,0.470,0.478,0.018,0.009,2.0,0.676
One_ODC1_196,SNP,a,0.457,0.455,-0.007,0.042,2.0,0.666
One_Ots208_234,SNP,a,0.179,0.185,0.031,0.009,2.0,0.336
One_Ots213_181,SNP,a,0.373,0.387,0.036,0.016,2.0,0.583
One_p53_576,SNP,a,0.084,0.085,0.004,0.019,1.9,0.184
One_pax7_248,SNP,a,0.117,0.116,-0.006,0.008,2.0,0.235
One_PIP,SNP,a,0.380,0.397,0.043,0.022,2.0,0.595
One_Prl2,SNP,a,0.455,0.480,0.047,0.026,2.0,0.688
One_rab1a_76,SNP,a,0.424,0.420,-0.009,0.030,2.0,0.625
One_RAG1_103,SNP,a,0.102,0.103,0.009,0.011,1.9,0.213
One_RAG3_93,SNP,a,0.139,0.139,-0.005,0.021,2.0,0.268
One_redd1_414,SNP,a,0.435,0.450,0.034,0.012,2.0,0.649
One_RF_112,SNP,a,0.281,0.287,0.017,0.005,2.0,0.463
One_RF_295,SNP,a,0.058,0.057,-0.009,0.002,1.9,0.134
One_rpo2j_261,SNP,a,0.411,0.416,0.014,0.011,2.0,0.612
