Pop, ST, HeDef, HeEx, perST, perHeDef, BST
FBM1_095,4,3,1,3.9,75.0,0
FBM2_095,3,2,1,2.9,66.7,0
FBM3_095,7,6,1,6.8,85.7,0
FBM4_095,5,4,1,4.9,80.0,0
FTM1_095,8,5,3,7.8,62.5,1
FTM2_095,7,4,3,6.8,57.1,0
FTM3_093,2,2,0,1.9,100.0,0
FTM4_078,2,1,1,1.9,50.0,0
FTM5_095,3,3,0,2.9,100.0,0
FTM6_095,1,0,1,1.0,0.0,0
KBL1_096,5,2,3,4.9,40.0,0
KBL2_097,2,2,0,1.9,100.0,0
KBL4_096,5,2,3,4.9,40.0,0
KBL5_096,6,3,3,5.8,50.0,0
KOL1_062,11,11,0,10.7,100.0,2
KTE1_096,6,5,1,5.8,83.3,2
KTE2_096,6,6,0,5.8,100.0,0
KTE3_096,18,17,1,17.5,94.4,0
KTE4_066,6,5,1,5.8,83.3,0
KTE5_096,11,8,3,10.7,72.7,1
KTE6_096,2,2,0,1.9,100.0,0
KTE7_096,5,5,0,4.9,100.0,0
KTE8_096,2,2,0,1.9,100.0,0
KTE9_064,9,7,2,8.7,77.8,0
KTL1_095,1,0,1,1.0,0.0,0
KTL2_095,3,3,0,2.9,100.0,0
RBL1_095,2,0,2,1.9,0.0,0
RBL2_095,4,2,2,3.9,50.0,0
RBL3_095,5,4,1,4.9,80.0,0
RBL4_095,2,1,1,1.9,50.0,0
RTE1_095,8,5,3,7.8,62.5,0
RTE2_095,4,3,1,3.9,75.0,0
RUL1_096,9,9,0,8.7,100.0,2
