Archive,USFWS_code,ADFG_code,Code,Frazer_Donor,Map_Code,Drainage,Location,Date,N,Spawn_Time,Habitat_Type,Lat,Long,BurgerLat,BurgerLong
USFWS,SKAR9928,SKARLE99L,KBL2,,13,Karluk Lk,E shoal,9/27/1999,95,late,Beach,57.399,-154.041,,
USFWS,SOMA9929,SKARLSE99L,KBL4,XB,5,Karluk Lk,SE shoal,9/28/1999,95,late,Beach,57.283,-153.996,57.367,154.033
ADFG,SKARLSE11,SKARLSE11,KBL3,XB,,Karluk Lk,SE shoal,9/16/2011,95,late,Beach,57.279,-153.996,,
USFWS,STHU9925,STHUS99L,KBL5,,9,Karluk Lk,shoal by Thumb R,10/1/1999,95,late,Beach,57.358,-153.999,,
USFWS,SKAR9924,SKARLW99L,KBL1,,12,Karluk Lk,W shoal,9/27/1999,95,late,Beach,57.394,-154.078,,
USFWS,SKAR013,SKARL01L,KOL1,,16,Karluk Lk,Karluk R,10/14/2001,62,late,Outlet,57.441,-154.109,,
USFWS,SCAS9917,SCAS99E,KTE2,,4,Karluk Lk,Cascade Ck,7/28/1999,95,early,Trib_Lat,57.277,-154.008,,
USFWS,SCOT9914,SCOT99E,KTE3,,14,Karluk Lk,Cottonwood Ck,7/27/1999,95,early,Trib_Lat,57.404,-154.045,,
USFWS,SGRA9915,SGRA99E,KTE5,,11,Karluk Lk,Grassy Point Ck,7/27/1999,95,early,Trib_Lat,57.382,-154.075,,
USFWS,SHAL015,SHAL01E,KTE6,,10,Karluk Lk,Halfway Ck,7/19/2001,95,early,Trib_Lat,57.358,-154.063,,
USFWS,SMOR9913,SMOR99E,KTE7,,15,Karluk Lk,Moraine Ck,7/26/1999,95,early,Trib_Lat,57.434,-154.075,,
USFWS,SSAL9920,SSAL99E,KTE8,,7,Karluk Lk,Salmon Ck,7/29/1999,95,early,Trib_Lat,57.354,-153.995,,
USFWS,SCAN9919,SCAN99E,KTE1,,3,Karluk Lk,Canyon Ck,7/31/1999,95,early,Trib_Term,57.278,-153.989,,
USFWS,SFAL9922,SFAL99E,KTE4,,1,Karluk Lk,Falls Ck,8/5/1999,66,early,Trib_Term,57.274,-153.986,,
USFWS,STHU9921,SUTHU99E,KTE9,,6,Karluk Lk,upper Thumb R,7/29/1999,72,early,Trib_Term,57.35,-153.972,,
ADFG,SOMALL99,SOMALL99,KTL2,,2,Karluk Lk,Omalley R,9/30/1999,95,late,Trib_Term,57.277,-153.996,,
ADFG,SLTHUM99,SLTHUM99,KTL1,,8,Karluk Lk,lower Thumb R,9/30/1999,95,late,Trib_Term,57.356,-153.999,,
