Archive,USFWS_code,ADFG_code,Code
USFWS,SKAR9928,SKARLE99L,KBL2
USFWS,SOMA9929,SKARLSE99L,KBL4
ADFG,SKARLSE11,SKARLSE11,KBL3
USFWS,STHU9925,STHUS99L,KBL5
USFWS,SKAR9924,SKARLW99L,KBL1
USFWS,SKAR013,SKARL01L,KOL1
USFWS,SCAS9917,SCAS99E,KTE2
USFWS,SCOT9914,SCOT99E,KTE3
USFWS,SGRA9915,SGRA99E,KTE5
USFWS,SHAL015,SHAL01E,KTE6
USFWS,SMOR9913,SMOR99E,KTE7
USFWS,SSAL9920,SSAL99E,KTE8
USFWS,SCAN9919,SCAN99E,KTE1
USFWS,SFAL9922,SFAL99E,KTE4
USFWS,STHU9921,SUTHU99E,KTE9
ADFG,SOMALL99,SOMALL99,KTL2
ADFG,SLTHUM99,SLTHUM99,KTL1
ADFG,SCOUR08,SCOUR08,FBM1
ADFG,SMIDWS08,SMIDWS08,FBM3
ADFG,SHOLFS08,SHOLFS08,FBM2
ADFG,SOUTS08,SOUTS08,FBM4
ADFG,SPINNM08,SPINNM08,FTM4
ADFG,SSTUM08,SSTUM08,FTM5
ADFG,SMIDWM08,SMIDWM08,FTM3
ADFG,SLINDM08,SLINDM08,FTM2
ADFG,SVALA08,SVALA08,FTM6
ADFG,SDOGSC08,SDOGSC08,FOM1
ADFG,SHORS05,SHORS05,HTL1
USFWS,SUPP014,SUPPSW01L,UBL1
USFWS,SOLG016,SOLGA01E,UTE1
USFWS,SOLG017,SOLGB01E,UTE2
USFWS,SOLG018,SOLGC01E,UTE3
USFWS,SAKA012,SAKALNE01L,ABL1
ADFG,SAKALNE11,SAKALNE11,ABL2
ADFG,SREDCRY11,SREDCRY11,RTE2
ADFG,SREDSS11,SREDSS11,RBL3
ADFG,SREDNWS11,SREDNWS11,RBL2
ADFG,SREDCON11,SREDCON11,RTE1
ADFG,SREDSWS11,SREDSWS11,RBL4
ADFG,SREDNES11,SREDNES11,RBL1
USFWS,SRUTHR,SRUTHR95L,RUL1
ADFG,SOCEAB06,SOCEAB06,OBL1
