P-value for each population pair across all loci
(Fisher's method)
-----------------------------------------------------
Population pair               Chi2      df   P-Value
--------------------          --------  ---  --------
FBM1_095      & FBM2_095      220.28721 202  0.179614
FBM1_095      & FBM3_095      225.353457200  0.105482
FBM2_095      & FBM3_095      216.175132198  0.178725
FBM1_095      & FBM4_095      >359.393739200  Highly sign.
FBM2_095      & FBM4_095      314.667030198  Highly sign.
FBM3_095      & FBM4_095      389.626916196  Highly sign.
FBM1_095      & FOM1_095      225.197678204  0.147305
FBM2_095      & FOM1_095      203.348233204  0.499719
FBM3_095      & FOM1_095      254.460319204  0.009398
FBM4_095      & FOM1_095      295.199932204  0.000031
FBM1_095      & FTM2_095      222.445799202  0.154369
FBM2_095      & FTM2_095      195.177484202  0.621780
FBM3_095      & FTM2_095      233.169820202  0.065475
FBM4_095      & FTM2_095      316.553526202  0.000000
FOM1_095      & FTM2_095      143.586420204  0.999540
FBM1_095      & FTM3_093      215.961672204  0.269613
FBM2_095      & FTM3_093      165.608820204  0.977312
FBM3_095      & FTM3_093      220.944280204  0.197757
FBM4_095      & FTM3_093      357.129431204  Highly sign.
FOM1_095      & FTM3_093      179.124036204  0.894768
FTM2_095      & FTM3_093      153.726303204  0.996470
FBM1_095      & FTM4_078      268.777426204  0.001588
FBM2_095      & FTM4_078      262.838250200  0.001903
FBM3_095      & FTM4_078      271.512599200  0.000574
FBM4_095      & FTM4_078      >374.371916200  Highly sign.
FOM1_095      & FTM4_078      262.750260204  0.003468
FTM2_095      & FTM4_078      243.895295204  0.029262
FTM3_093      & FTM4_078      251.160837204  0.013624
FBM1_095      & FTM5_095      236.600899202  0.047982
FBM2_095      & FTM5_095      259.551296202  0.003898
FBM3_095      & FTM5_095      239.621154200  0.028960
FBM4_095      & FTM5_095      >381.214269200  Highly sign.
FOM1_095      & FTM5_095      226.027120204  0.138638
FTM2_095      & FTM5_095      215.209954204  0.281593
FTM3_093      & FTM5_095      200.687571204  0.552460
FTM4_078      & FTM5_095      163.665138202  0.977748
FBM1_095      & FTM6_095      284.273352202  0.000121
FBM2_095      & FTM6_095      263.283142202  0.002423
FBM3_095      & FTM6_095      319.222634200  Highly sign.
FBM4_095      & FTM6_095      314.925332200  0.000000
FOM1_095      & FTM6_095      266.680092204  0.002095
FTM2_095      & FTM6_095      237.767102204  0.052602
FTM3_093      & FTM6_095      >288.878015204  <0.000086
FTM4_078      & FTM6_095      308.155843202  0.000002
FTM5_095      & FTM6_095      >298.818912202  <0.000011
FBM1_095      & KBL1_096      >582.863808204  Highly sign.
FBM2_095      & KBL1_096      >453.054934204  Highly sign.
FBM3_095      & KBL1_096      >627.168056204  Highly sign.
FBM4_095      & KBL1_096      >576.941963204  Highly sign.
FOM1_095      & KBL1_096      >524.683019204  Highly sign.
FTM2_095      & KBL1_096      >459.767388204  Highly sign.
FTM3_093      & KBL1_096      >517.855881204  Highly sign.
FTM4_078      & KBL1_096      >510.408566204  Highly sign.
FTM5_095      & KBL1_096      >539.651715204  Highly sign.
FTM6_095      & KBL1_096      >530.929172204  Highly sign.
FBM1_095      & KBL2_097      >574.921655204  Highly sign.
FBM2_095      & KBL2_097      >600.820263204  Highly sign.
FBM3_095      & KBL2_097      >687.740030204  Highly sign.
FBM4_095      & KBL2_097      >590.106468204  Highly sign.
FOM1_095      & KBL2_097      >539.800929204  Highly sign.
FTM2_095      & KBL2_097      >529.653789204  Highly sign.
FTM3_093      & KBL2_097      >587.702268204  Highly sign.
FTM4_078      & KBL2_097      >528.351571204  Highly sign.
FTM5_095      & KBL2_097      >567.138250204  Highly sign.
FTM6_095      & KBL2_097      >565.518780204  Highly sign.
KBL1_096      & KBL2_097      197.824521204  0.608674
FBM1_095      & KBL4_096      >564.421308204  Highly sign.
FBM2_095      & KBL4_096      >603.676891202  Highly sign.
FBM3_095      & KBL4_096      >540.471040202  Highly sign.
FBM4_095      & KBL4_096      >620.215114202  Highly sign.
