P-value for each population pair across all loci
(Fisher's method)
-----------------------------------------------------
Population pair               Chi2      df   P-Value
--------------------          --------  ---  --------
FBM1_095      & FBM2_095      220.17977 200  0.156207
FBM1_095      & FBM3_095      223.035599198  0.107118
FBM2_095      & FBM3_095      214.686689196  0.171312
FBM1_095      & FBM4_095      >357.760775198  Highly sign.
FBM2_095      & FBM4_095      313.323616196  Highly sign.
FBM3_095      & FBM4_095      386.695860194  Highly sign.
FBM1_095      & FTM1_095      223.332858202  0.144754
FBM2_095      & FTM1_095      200.941100202  0.507821
FBM3_095      & FTM1_095      245.808270202  0.019144
FBM4_095      & FTM1_095      292.988754202  0.000030
FBM1_095      & FTM2_095      222.445799200  0.132195
FBM2_095      & FTM2_095      194.263521200  0.601132
FBM3_095      & FTM2_095      230.744304200  0.067081
FBM4_095      & FTM2_095      314.903449200  0.000000
FTM1_095      & FTM2_095      141.348088202  0.999596
FBM1_095      & FTM3_093      215.514839202  0.244753
FBM2_095      & FTM3_093      165.069188202  0.973144
FBM3_095      & FTM3_093      215.344804202  0.247306
FBM4_095      & FTM3_093      353.921047202  Highly sign.
FTM1_095      & FTM3_093      178.848842202  0.878129
FTM2_095      & FTM3_093      152.508536202  0.996128
FBM1_095      & FTM4_078      267.934706202  0.001306
FBM2_095      & FTM4_078      260.459819198  0.001926
FBM3_095      & FTM4_078      262.200514198  0.001524
FBM4_095      & FTM4_078      >368.743294198  Highly sign.
FTM1_095      & FTM4_078      259.834026202  0.003762
FTM2_095      & FTM4_078      242.826164202  0.026125
FTM3_093      & FTM4_078      250.782947202  0.011085
FBM1_095      & FTM5_095      235.226068200  0.044538
FBM2_095      & FTM5_095      257.724287200  0.003689
FBM3_095      & FTM5_095      238.467002198  0.026046
FBM4_095      & FTM5_095      >379.588857198  Highly sign.
FTM1_095      & FTM5_095      220.881270202  0.172404
FTM2_095      & FTM5_095      214.381273202  0.262067
FTM3_093      & FTM5_095      198.222854202  0.561958
FTM4_078      & FTM5_095      160.045381200  0.982764
FBM1_095      & FTM6_095      283.099155200  0.000101
FBM2_095      & FTM6_095      261.920460200  0.002148
FBM3_095      & FTM6_095      313.254315198  0.000000
FBM4_095      & FTM6_095      313.657959198  0.000000
FTM1_095      & FTM6_095      266.102113202  0.001672
FTM2_095      & FTM6_095      236.283527202  0.049418
FTM3_093      & FTM6_095      >287.474092202  <0.000073
FTM4_078      & FTM6_095      304.097738200  0.000003
FTM5_095      & FTM6_095      >295.085265200  <0.000014
FBM1_095      & KBL1_096      >581.507244202  Highly sign.
FBM2_095      & KBL1_096      >451.167487202  Highly sign.
FBM3_095      & KBL1_096      >620.028350202  Highly sign.
FBM4_095      & KBL1_096      >575.284002202  Highly sign.
FTM1_095      & KBL1_096      >524.116812202  Highly sign.
FTM2_095      & KBL1_096      >458.081539202  Highly sign.
FTM3_093      & KBL1_096      >516.683209202  Highly sign.
FTM4_078      & KBL1_096      >506.667896202  Highly sign.
FTM5_095      & KBL1_096      >535.468460202  Highly sign.
FTM6_095      & KBL1_096      >530.929172202  Highly sign.
FBM1_095      & KBL2_097      >571.027016202  Highly sign.
FBM2_095      & KBL2_097      >596.116376202  Highly sign.
FBM3_095      & KBL2_097      >673.979750202  Highly sign.
FBM4_095      & KBL2_097      >585.611069202  Highly sign.
FTM1_095      & KBL2_097      >538.465900202  Highly sign.
FTM2_095      & KBL2_097      >525.684828202  Highly sign.
FTM3_093      & KBL2_097      >586.845251202  Highly sign.
FTM4_078      & KBL2_097      >526.021772202  Highly sign.
FTM5_095      & KBL2_097      >558.497365202  Highly sign.
FTM6_095      & KBL2_097      >562.848399202  Highly sign.
KBL1_096      & KBL2_097      195.654806202  0.612516
FBM1_095      & KBL4_096      >560.590604202  Highly sign.
FBM2_095      & KBL4_096      >598.969682200  Highly sign.
FBM3_095      & KBL4_096      >527.683570200  Highly sign.
FBM4_095      & KBL4_096      >615.693417200  Highly sign.
FTM1_095      & KBL4_096      >560.940382202  Highly sign.
FTM2_095      & KBL4_096      >530.661742202  Highly sign.
FTM3_093      & KBL4_096      >563.574267202  Highly sign.
FTM4_078      & KBL4_096      >515.436775200  Highly sign.
FTM5_095      & KBL4_096      >584.234785200  Highly sign.
FTM6_095      & KBL4_096      >523.310545202  Highly sign.
KBL1_096      & KBL4_096      182.942665202  0.828042
KBL2_097      & KBL4_096      181.687245202  0.844550
FBM1_095      & KBL5_096      >578.554425202  Highly sign.
FBM2_095      & KBL5_096      >567.573172200  Highly sign.
FBM3_095      & KBL5_096      >544.812247200  Highly sign.
FBM4_095      & KBL5_096      >576.439362200  Highly sign.
FTM1_095      & KBL5_096      >448.221970202  Highly sign.
FTM2_095      & KBL5_096      >463.214184202  Highly sign.
FTM3_093      & KBL5_096      >486.867174202  Highly sign.
FTM4_078      & KBL5_096      >534.485000200  Highly sign.
FTM5_095      & KBL5_096      >492.940954202  Highly sign.
FTM6_095      & KBL5_096      >569.750912200  Highly sign.
KBL1_096      & KBL5_096      168.472447202  0.958785
KBL2_097      & KBL5_096      169.107863202  0.955540
KBL4_096      & KBL5_096      210.281028202  0.330092
FBM1_095      & KOL1_062      >574.787121202  Highly sign.
FBM2_095      & KOL1_062      >591.632939200  Highly sign.
FBM3_095      & KOL1_062      >628.415960200  Highly sign.
FBM4_095      & KOL1_062      >584.950836200  Highly sign.
FTM1_095      & KOL1_062      >559.868013202  Highly sign.
FTM2_095      & KOL1_062      >542.870937202  Highly sign.
FTM3_093      & KOL1_062      >601.245956202  Highly sign.
FTM4_078      & KOL1_062      >571.253137200  Highly sign.
FTM5_095      & KOL1_062      >660.031376202  Highly sign.
FTM6_095      & KOL1_062      >626.710639200  Highly sign.
KBL1_096      & KOL1_062      381.452420202  Highly sign.
KBL2_097      & KOL1_062      442.715425202  Highly sign.
KBL4_096      & KOL1_062      423.522084202  Highly sign.
KBL5_096      & KOL1_062      >405.489675200  Highly sign.
FBM1_095      & KTE1_096      >546.057682202  Highly sign.
FBM2_095      & KTE1_096      >612.209781202  Highly sign.
FBM3_095      & KTE1_096      >671.963653202  Highly sign.
FBM4_095      & KTE1_096      >689.496181202  Highly sign.
FTM1_095      & KTE1_096      >545.246751202  Highly sign.
FTM2_095      & KTE1_096      >542.329616202  Highly sign.
FTM3_093      & KTE1_096      >548.837595202  Highly sign.
FTM4_078      & KTE1_096      >565.355483202  Highly sign.
FTM5_095      & KTE1_096      >577.372922202  Highly sign.
FTM6_095      & KTE1_096      >593.539577202  Highly sign.
KBL1_096      & KTE1_096      >352.872348202  Highly sign.
KBL2_097      & KTE1_096      >386.516427202  Highly sign.
KBL4_096      & KTE1_096      >353.548400202  Highly sign.
KBL5_096      & KTE1_096      >360.746384202  Highly sign.
KOL1_062      & KTE1_096      >457.327194202  Highly sign.
FBM1_095      & KTE2_096      >560.946773202  Highly sign.
FBM2_095      & KTE2_096      >533.557633202  Highly sign.
FBM3_095      & KTE2_096      >548.459217202  Highly sign.
FBM4_095      & KTE2_096      >554.943740202  Highly sign.
FTM1_095      & KTE2_096      >506.057809202  Highly sign.
FTM2_095      & KTE2_096      >459.436223202  Highly sign.
FTM3_093      & KTE2_096      >408.612052202  Highly sign.
FTM4_078      & KTE2_096      >495.062498202  Highly sign.
FTM5_095      & KTE2_096      >500.763580202  Highly sign.
FTM6_095      & KTE2_096      >512.440126202  Highly sign.
KBL1_096      & KTE2_096      >465.991364202  Highly sign.
KBL2_097      & KTE2_096      >478.199612202  Highly sign.
KBL4_096      & KTE2_096      >470.438671202  Highly sign.
KBL5_096      & KTE2_096      >436.782925202  Highly sign.
KOL1_062      & KTE2_096      >460.976907202  Highly sign.
