Locus	Obs_Het_BP	Obs_FST	FST_P_value	1_FST_quantile
1	0.46062	0.018598	0.110887	0.11088676
2	0.11786209	0.0002944933	0.41602662	0.58397338
3	0.44597321	0.010977123	0.26356766	0.26356766
4	0.041682881	-0.0024005164	0.34144987	0.65855013
5	0.40520357	-0.0018100889	0.35168377	0.64831623
6	0.46777372	0.0052787373	0.42717507	0.42717507
7	0.28514975	-0.00032725483	0.39550768	0.60449232
8	0.46403067	-0.00059920735	0.39245682	0.60754318
9	0.0065632117	-0.00079454085	0.4483393	0.5516607
10	0.3089067	-0.002158754	0.3438975	0.6561025
11	0.40171573	0.004522076	0.45488408	0.45488408
12	0.082216945	0.012786289	0.2226483	0.2226483
13	0.32050199	0.011419517	0.2575776	0.2575776
14	0.49694138	0.0065115458	0.39135422	0.39135422
15	0.064916923	0.0022350803	0.4788936	0.5211064
16	0.49745454	0.0025151073	0.48573534	0.51426466
17	0.11139889	0.0063881208	0.39727294	0.39727294
18	0.42917552	0.0023069352	0.48101826	0.51898174
19	0.43595619	0.0025586178	0.48981633	0.51018367
20	0.50006361	-0.0021928591	0.34342845	0.65657155
21	0.38079214	-0.0018585334	0.34995617	0.65004383
22	0.062615025	0.0072144643	0.36964159	0.36964159
23	0.14982375	-0.00024263793	0.4044815	0.5955185
24	0.23692224	0.0032626482	0.49287992	0.49287992
25	0.26133227	0.003027191	0.49638937	0.50361063
26	0.47247479	-0.0038905452	0.2967198	0.7032802
27	0.46586424	0.0035091188	0.48138203	0.48138203
28	0.48423826	0.0018380497	0.4641988	0.5358012
29	0.49239083	0.00083393517	0.43345932	0.56654068
30	0.49970007	0.0007763605	0.43205264	0.56794736
31	0.222786	-0.0019311357	0.35165106	0.64834894
32	0.42302399	0.0018636091	0.46629397	0.53370603
33	0.043953802	-0.002043161	0.35101337	0.64898663
34	0.083174279	0.0018985387	0.46831863	0.53168137
35	0.40717308	0.015706513	0.16234006	0.16234006
36	0.50024199	0.000977831	0.43826305	0.56173695
37	0.47592082	0.0029405735	0.49905693	0.50094307
38	0.11637302	0.00061410702	0.42586381	0.57413619
39	0.082768246	0.0034399344	0.48395267	0.48395267
40	0.46044235	0.011158283	0.2596833	0.2596833
41	0.29654412	0.0030066427	0.49968018	0.50031982
42	0.044146549	0.0052394151	0.42791785	0.42791785
43	0.41121686	0.0084535605	0.33625726	0.33625726
44	0.068773025	-0.0037517976	0.30233652	0.69766348
45	0.43989719	0.0018630333	0.46854555	0.53145445
46	0.49068153	0.00050223743	0.42323311	0.57676689
47	0.45944826	0.002604056	0.49140904	0.50859096
48	0.4994113	0.0018558837	0.46537548	0.53462452
49	0.2167404	0.0035063917	0.48208034	0.48208034
50	0.44608318	0.0017386899	0.46510439	0.53489561
51	0.16079002	0.0071403275	0.36981271	0.36981271
52	0.41288857	0.0030444225	0.49931462	0.49931462
53	0.13399381	0.0023074597	0.48010527	0.51989473
54	0.36201481	0.00077392828	0.42884138	0.57115862
55	0.50043707	0.0040842704	0.46529314	0.46529314
56	0.49917419	0.0033509841	0.48813679	0.48813679
57	0.008699234	0.00022899618	0.47935819	0.52064181
58	0.43385473	0.0076033623	0.35668711	0.35668711
59	0.17062646	0.0062962443	0.39347078	0.39347078
60	0.37493038	0.00024570787	0.41260049	0.58739951
61	0.45604454	-0.00069463045	0.39037129	0.60962871
62	0.061149952	-0.00056059373	0.39349563	0.60650437
63	0.14287008	0.0082816426	0.33863333	0.33863333
64	0.054783262	-0.00061674744	0.39173221	0.60826779
65	0.19960232	-0.0039781841	0.29730976	0.70269024
66	0.44766394	-0.0027170341	0.33166348	0.66833652
67	0.46180325	0.0028199968	0.49786491	0.50213509
68	0.4999606	0.0012962928	0.44807569	0.55192431
69	0.42873933	-7.8222545e-005	0.40745585	0.59254415
70	0.024858744	-0.0031021036	0.36526321	0.63473679
71	0.2273445	0.011495284	0.25377133	0.25377133
72	0.38490118	0.0021211958	0.47006815	0.52993185
73	0.33433291	0.00013570744	0.40982414	0.59017586
74	0.11235179	0.0013829282	0.44955866	0.55044134
75	0.44629537	0.0081920122	0.33883648	0.33883648
76	0.0053984726	-0.002303349	0.40211207	0.59788793
77	0.19737906	0.010244702	0.28220578	0.28220578
78	0.19733153	0.0025974201	0.49275863	0.50724137
79	0.36242439	0.00083969915	0.43082438	0.56917562
80	0.061421536	-5.1727607e-005	0.40878794	0.59121206
81	0.012948208	0.0051788104	0.36981213	0.36981213
82	0.23768477	0.00018050141	0.41190794	0.58809206
83	0.4103392	-0.0026031358	0.32957754	0.67042246
84	0.43121443	0.0082235873	0.33917941	0.33917941
85	0.33550808	0.0053239475	0.43061136	0.43061136
86	0.22275188	0.00088083722	0.43587291	0.56412709
87	0.48441345	0.00078337675	0.43167248	0.56832752
88	0.035415528	0.0020435618	0.49699778	0.49699778
