Loc, ST, HeDef, HeEx, perST, perHeDef, BST
One_ACBP_79,8,8,0,24.2,100.0,5
One_agt_132,4,4,0,12.1,100.0,0
One_aldB_152,0,0,0,0.0,0,0
One_apoe_83,0,0,0,0.0,0,0
One_c3_98,1,1,0,3.0,100.0,0
One_CD9_269,0,0,0,0.0,0,0
One_cetn1_167,0,0,0,0.0,0,0
One_CFP1,3,2,1,9.1,66.7,0
One_cin_177,1,0,1,3.0,0.0,0
One_ctgf_301,0,0,0,0.0,0,0
One_E2,2,2,0,6.1,100.0,0
One_gdh_212,0,0,0,0.0,0,0
One_GHII_2461,1,1,0,3.0,100.0,1
One_ghsR_66,0,0,0,0.0,0,0
One_GPDH,1,1,0,3.0,100.0,0
One_GPDH2,2,2,0,6.1,100.0,1
One_GPH_414,2,1,1,6.1,50.0,0
One_hcs71_220,3,3,0,9.1,100.0,0
One_HGFA,1,1,0,3.0,100.0,0
One_HpaI_436,1,0,1,3.0,0.0,1
One_HpaI_99,0,0,0,0.0,0,0
One_Hsp47,0,0,0,0.0,0,0
One_IL8r_362,1,1,0,3.0,100.0,0
One_KCT1_453,1,1,0,3.0,100.0,0
One_KPNA_422,1,0,1,3.0,0.0,0
One_LEI_87,3,2,1,9.1,66.7,0
One_lpp1_44,3,2,1,9.1,66.7,0
One_MHC2_190,5,4,1,15.2,80.0,1
One_MHC2_251,3,3,0,9.1,100.0,0
One_Mkpro_129,1,0,1,3.0,0.0,0
One_ODC1_196,1,1,0,3.0,100.0,0
One_Ots208_234,1,1,0,3.0,100.0,0
One_Ots213_181,4,2,2,12.1,50.0,0
One_p53_576,1,1,0,3.0,100.0,0
One_pax7_248,0,0,0,0.0,0,0
One_PIP,2,2,0,6.1,100.0,0
One_Prl2,3,2,1,9.1,66.7,0
One_rab1a_76,1,0,1,3.0,0.0,0
One_RAG1_103,0,0,0,0.0,0,0
One_RAG3_93,0,0,0,0.0,0,0
One_redd1_414,5,3,2,15.2,60.0,1
One_RF_112,2,2,0,6.1,100.0,0
One_RF_295,1,1,0,3.0,100.0,0
One_rpo2j_261,1,1,0,3.0,100.0,0
One_sast_211,1,1,0,3.0,100.0,0
One_spf30_207,1,1,0,3.0,100.0,1
One_ssrd_135,3,3,0,9.1,100.0,0
One_STC_410,2,2,0,6.1,100.0,0
One_STR07,1,1,0,3.0,100.0,0
One_SUMO1_6,4,4,0,12.1,100.0,0
One_sys1_230,4,3,1,12.1,75.0,0
One_taf12_248,1,1,0,3.0,100.0,1
One_Tf_ex10_750,1,1,0,3.0,100.0,0
One_Tf_ex3_182,0,0,0,0.0,0,0
One_tshB_92,2,2,0,6.1,100.0,1
One_U1003_75,2,1,1,6.1,50.0,0
One_U1004_183,2,2,0,6.1,100.0,1
One_U1009_91,2,2,0,6.1,100.0,0
One_U1010_81,0,0,0,0.0,0,0
One_U1012_68,1,1,0,3.0,100.0,1
One_U1013_108,1,1,0,3.0,100.0,1
One_U1014_74,2,1,1,6.1,50.0,0
One_U1016_115,0,0,0,0.0,0,0
One_U1024_197,1,1,0,3.0,100.0,0
One_U1101,3,3,0,9.1,100.0,0
One_U1103,0,0,0,0.0,0,0
One_U1105,1,1,0,3.0,100.0,0
One_U1201_492,1,1,0,3.0,100.0,0
One_U1202_1052,1,1,0,3.0,100.0,0
One_U1203_175,2,1,1,6.1,50.0,0
One_U1204_53,2,2,0,6.1,100.0,0
One_U1205_57,0,0,0,0.0,0,0
One_U1206_108,2,2,0,6.1,100.0,0
One_U1208_67,2,1,1,6.1,50.0,0
One_U1209_111,3,2,1,9.1,66.7,0
One_U1210_173,0,0,0,0.0,0,0
One_U1212_106,0,0,0,0.0,0,0
One_U1214_107,2,2,0,6.1,100.0,1
One_U1216_230,1,1,0,3.0,100.0,0
One_U301_92,3,3,0,9.1,100.0,0
One_U401_224,1,1,0,3.0,100.0,0
One_U404_229,0,0,0,0.0,0,0
One_U502_167,0,0,0,0.0,0,0
One_U503_170,0,0,0,0.0,0,0
One_U504_141,2,1,1,6.1,50.0,0
One_vamp5_255,2,2,0,6.1,100.0,0
One_vatf_214,2,1,1,6.1,50.0,0
One_VIM_569,1,1,0,3.0,100.0,1
One_ZNF_61,4,2,2,12.1,50.0,0
One_zP3b,0,0,0,0.0,0,0
One_Omy77v4,1,1,0,3.0,100.0,0
One_One100,1,0,1,3.0,0.0,0
One_One102v4,6,3,3,18.2,50.0,0
One_One103PT,4,2,2,12.1,50.0,0
One_One105,2,2,0,6.1,100.0,0
One_One108v4,3,1,2,9.1,33.3,0
One_One110v4,6,3,3,18.2,50.0,0
One_One111v4,6,4,2,18.2,66.7,1
One_One114v4,2,2,0,6.1,100.0,0
One_One115,1,0,1,3.0,0.0,0
One_Ots103v4,1,1,0,3.0,100.0,0
One_Ots107v4,3,3,0,9.1,100.0,0
One_uSat60v4,2,1,1,6.1,50.0,1
