Ind,Pop,One_ACBP_79,One_agt_132,One_aldB_152,One_apoe_83,One_c3_98,One_CD9_269,One_cetn1_167,One_CFP1,One_cin_177,One_CO1,One_ctgf_301,One_Cytb_17,One_Cytb_26,One_E2,One_gdh_212,One_GHII_2461,One_ghsR_66,One_GPDH,One_GPDH2,One_GPH_414,One_hcs71_220,One_HGFA,One_HpaI_436,One_HpaI_99,One_Hsp47,One_IL8r_362,One_KCT1_453,One_KPNA_422,One_LEI_87,One_lpp1_44,One_metA_253,One_MHC2_190,One_MHC2_251,One_Mkpro_129,One_ODC1_196,One_Ots208_234,One_Ots213_181,One_p53_576,One_pax7_248,One_PIP,One_Prl2,One_rab1a_76,One_RAG1_103,One_RAG3_93,One_redd1_414,One_RF_112,One_RF_295,One_rpo2j_261,One_sast_211,One_spf30_207,One_srp09_127,One_ssrd_135,One_STC_410,One_STR07,One_SUMO1_6,One_sys1_230,One_taf12_248,One_Tf_ex10_750,One_Tf_ex3_182,One_tshB_92,One_txnip_401,One_U1003_75,One_U1004_183,One_U1009_91,One_U1010_81,One_U1012_68,One_U1013_108,One_U1014_74,One_U1016_115,One_U1024_197,One_U1101,One_U1103,One_U1105,One_U1201_492,One_U1202_1052,One_U1203_175,One_U1204_53,One_U1205_57,One_U1206_108,One_U1208_67,One_U1209_111,One_U1210_173,One_U1212_106,One_U1214_107,One_U1216_230,One_U301_92,One_U401_224,One_U404_229,One_U502_167,One_U503_170,One_U504_141,One_vamp5_255,One_vatf_214,One_VIM_569,One_ZNF_61,One_zP3b,One_Omy77v4,One_One100,One_One102v4,One_One103PT,One_One105,One_One108v4,One_One110v4,One_One111v4,One_One114v4,One_One115,One_Ots103v4,One_Ots107v4,One_uSat60v4
KTE1_001,KTE1,001/002,001/001,001/002,001/002,001/002,001/002,001/002,001/001,001/002,002/002,001/001,002/002,001/001,001/001,002/002,002/002,001/002,001/001,001/002,002/002,002/002,001/002,001/002,001/002,001/002,001/001,002/002,001/001,001/001,002/002,001/001,001/002,002/002,001/002,002/002,002/002,002/002,002/002,002/002,001/002,001/001,001/002,002/002,001/001,002/002,001/001,001/001,001/002,001/002,001/002,002/002,001/002,002/002,001/002,002/002,001/001,001/001,002/002,001/001,001/001,001/001,001/001,001/002,001/002,001/002,002/002,002/002,002/002,002/002,002/002,001/001,002/002,001/002,001/001,001/002,001/002,001/001,002/002,001/002,001/002,002/002,002/002,001/001,002/002,001/001,002/002,001/002,001/001,001/001,002/002,001/002,001/002,002/002,002/002,001/001,002/002,003/003,028/030,009/011,032/036,002/006,005/020,009/021,006/007,013/015,010/011,004/005,004/008,003/008
KTE1_002,KTE1,001/001,001/002,001/001,002/002,001/002,001/002,001/002,001/001,001/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/001,001/001,002/002,002/002,002/002,001/001,001/001,002/002,002/002,001/001,002/002,001/001,001/002,001/002,001/001,001/002,002/002,002/002,001/001,002/002,001/002,002/002,002/002,001/001,001/001,001/002,001/002,001/002,001/002,001/002,001/001,001/001,001/001,001/001,002/002,002/002,001/001,001/002,001/002,001/001,001/001,001/001,001/001,001/001,001/001,002/002,002/002,002/002,001/002,001/001,002/002,002/002,002/002,002/002,001/001,002/002,002/002,002/002,001/001,002/002,001/001,002/002,001/002,001/002,001/002,002/002,001/001,002/002,001/001,002/002,001/001,001/001,001/001,001/002,001/001,001/002,002/002,001/002,002/002,002/002,003/003,027/031,004/011,011/039,002/002,011/013,012/023,004/005,013/018,011/013,015/015,004/004,003/003
KTE1_003,KTE1,001/002,001/001,002/002,002/002,002/002,001/001,002/002,001/001,001/001,001/001,001/001,002/002,002/002,001/001,001/002,002/002,001/001,001/002,002/002,002/002,002/002,001/002,001/001,001/002,002/002,001/002,002/002,001/001,001/001,000/000,001/001,001/002,002/002,001/002,001/002,002/002,002/002,002/002,002/002,001/001,001/002,001/001,002/002,000/000,001/002,001/001,001/001,001/001,001/001,001/001,000/000,001/002,001/002,001/002,001/002,001/001,001/001,002/002,001/002,001/001,001/001,000/000,002/002,002/002,002/002,001/001,002/002,001/002,002/002,002/002,001/002,002/002,002/002,002/002,000/000,002/002,001/002,002/002,002/002,002/002,002/002,002/002,002/002,002/002,001/002,001/002,001/002,001/001,001/001,001/002,002/002,001/002,002/002,001/001,002/002,002/002,003/006,026/031,005/012,029/034,002/002,009/013,002/010,005/027,005/016,010/013,012/018,004/004,003/003
KTE1_004,KTE1,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,002/002,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,002/002,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,001/001,000/000,000/000,002/002,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,001/001,000/000,002/002,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,001/001,000/000,000/000,000/000,000/000,000/000,000/000,002/002,000/000,000/000,000/000,000/000,000/000,000/000,006/008,000/000,000/000,000/000,000/000,000/000,000/000
KTE1_005,KTE1,001/001,002/002,001/002,001/002,002/002,001/002,001/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/002,001/002,000/000,001/001,002/002,001/002,001/001,002/002,002/002,001/001,002/002,001/002,001/002,001/002,001/001,001/002,002/002,001/002,001/002,002/002,002/002,002/002,001/002,001/001,001/002,001/001,002/002,001/001,002/002,001/002,001/001,001/002,001/001,001/002,002/002,001/002,002/002,001/002,001/001,001/001,001/001,001/002,001/002,001/001,001/001,001/001,002/002,002/002,002/002,001/001,001/002,002/002,001/002,002/002,001/001,002/002,002/002,001/002,000/000,001/001,001/002,002/002,001/001,001/001,002/002,002/002,001/001,002/002,001/001,002/002,001/001,001/001,001/001,001/002,002/002,001/002,001/002,002/002,002/002,002/002,003/004,026/028,008/014,035/041,002/002,010/010,010/014,004/005,012/013,011/012,015/019,004/004,003/003
KTE1_006,KTE1,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,001/001,001/001,002/002,002/002,001/001,000/000,002/002,000/000,001/001,000/000,000/000,002/002,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,001/001,000/000,000/000,000/000,000/000,000/000,001/001,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,002/002,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,002/002,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,002/002,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000
KTE1_007,KTE1,002/002,000/000,000/000,000/000,002/002,000/000,000/000,000/000,002/002,002/002,000/000,002/002,001/001,000/000,002/002,002/002,002/002,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,001/001,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,002/002,000/000,000/000,002/002,000/000,000/000,001/001,000/000,000/000,000/000,001/001,000/000,001/001,002/002,000/000,000/000,000/000,001/001,000/000,000/000,000/000,000/000,000/000,000/000,000/000,002/002,000/000,000/000,001/001,002/002,000/000,000/000,002/002,000/000,000/000,000/000,000/000,000/000,000/000,000/000,002/002,000/000,000/000,002/002,000/000,000/000,000/000,000/000,000/000,000/000,000/000,000/000,002/002,000/000,000/000,002/002,000/000,000/000,002/002,003/003,000/000,008/012,026/039,002/002,009/018,008/011,004/005,010/013,010/012,007/011,004/004,004/008
KTE1_008,KTE1,001/001,001/002,001/002,001/002,002/002,001/002,001/001,001/001,001/002,001/001,001/001,002/002,002/002,001/002,002/002,001/002,001/001,002/002,002/002,001/001,002/002,001/001,001/001,001/002,002/002,001/001,002/002,001/001,001/002,002/002,001/001,001/001,002/002,001/002,002/002,001/002,001/001,002/002,002/002,001/002,001/002,001/002,002/002,001/001,001/001,001/001,001/001,001/002,001/001,001/002,002/002,001/001,002/002,001/002,001/002,001/002,001/002,001/002,001/001,001/001,001/001,002/002,001/002,001/002,002/002,001/001,002/002,001/002,001/002,002/002,001/001,002/002,002/002,001/002,001/001,001/002,001/001,001/002,001/001,001/002,002/002,002/002,001/001,001/002,001/001,002/002,001/001,001/001,001/001,002/002,002/002,001/002,002/002,001/002,002/002,002/002,003/003,030/032,011/015,007/009,002/002,012/013,025/029,024/025,010/014,009/015,011/015,003/004,003/008
KTE1_009,KTE1,001/001,001/001,000/000,001/002,002/002,002/002,000/000,000/000,000/000,002/002,001/001,002/002,001/001,000/000,002/002,001/002,000/000,000/000,002/002,000/000,002/002,000/000,001/001,000/000,000/000,001/001,002/002,001/001,001/001,002/002,001/001,000/000,002/002,001/001,000/000,002/002,001/002,000/000,002/002,000/000,000/000,001/001,000/000,000/000,000/000,000/000,000/000,001/001,001/001,000/000,000/000,001/001,002/002,001/001,000/000,000/000,001/001,000/000,001/001,000/000,001/001,002/002,001/001,001/001,000/000,000/000,002/002,001/002,002/002,002/002,000/000,000/000,000/000,001/001,000/000,002/002,000/000,000/000,001/001,000/000,002/002,002/002,000/000,000/000,002/002,000/000,001/001,000/000,001/001,001/001,002/002,001/001,002/002,000/000,001/001,002/002,003/003,033/035,005/015,026/028,002/002,004/010,011/012,020/026,016/020,011/013,009/012,004/004,003/008
KTE1_010,KTE1,001/001,001/002,001/001,001/001,002/002,001/001,001/002,001/001,001/001,001/001,001/001,002/002,002/002,001/002,002/002,002/002,001/002,001/001,002/002,001/002,002/002,001/001,001/001,001/002,002/002,001/001,002/002,001/001,001/002,001/002,001/001,001/002,002/002,002/002,002/002,002/002,002/002,002/002,002/002,001/002,001/002,001/001,002/002,001/001,002/002,002/002,001/001,001/001,000/000,001/001,002/002,002/002,001/002,001/002,002/002,001/002,001/001,002/002,001/002,002/002,001/001,002/002,002/002,001/002,002/002,001/001,002/002,001/002,002/002,002/002,001/001,002/002,002/002,001/002,001/002,001/002,001/002,002/002,001/001,001/001,002/002,002/002,001/002,001/002,001/001,001/002,001/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,002/002,002/002,001/003,029/036,011/011,033/033,002/002,009/024,007/007,006/007,019/019,011/013,012/012,004/004,003/003
