Loc,FBM1_095,FBM2_095,FBM3_095,FBM4_095,FTM1_095,FTM2_095,FTM3_093,FTM4_078,FTM5_095,FTM6_095,KBL1_096,KBL2_097,KBL4_096,KBL5_096,KOL1_062,KTE1_096,KTE2_096,KTE3_096,KTE4_066,KTE5_096,KTE6_096,KTE7_096,KTE8_096,KTE9_064,KTL1_095,KTL2_095,RBL1_095,RBL2_095,RBL3_095,RBL4_095,RTE1_095,RTE2_095,RUL1_096
One_ACBP_79,0.6338,0.3856,0.0301,0.0007,0.0001,0.0269,0.0011,0.6220,0.1039,0.1102,0.2957,0.5290,0.6810,0.8348,0.0006,0.2822,0.2799,0.0496,0.3153,0.3026,0.3734,0.1880,0.8343,1.0000,0.2980,0.0800,0.2799,0.1236,0.0007,0.0758,0.1087,1.0000,1.0000
One_agt_132,1.0000,0.6493,0.6355,0.4061,0.3492,0.0032,0.6504,0.7659,0.8097,0.8372,0.8389,0.5442,0.5375,0.1033,0.1984,0.6648,0.0052,0.0044,1.0000,0.5216,0.2799,0.2222,0.8357,0.1992,0.6505,0.5250,0.3117,0.8207,0.4706,0.1280,0.5752,0.5961,0.0221
One_aldB_152,0.4031,0.0748,1.0000,1.0000,0.4176,1.0000,1.0000,1.0000,1.0000,1.0000,0.2723,0.0678,0.6525,0.5103,0.1989,0.6508,0.8192,0.6257,1.0000,0.6470,0.6217,1.0000,0.8141,0.0981,0.1385,1.0000,1.0000,0.1944,0.5887,1.0000,1.0000,1.0000,0.7959
One_apoe_83,0.6222,0.3679,0.5096,0.5143,0.0943,0.6189,0.3611,1.0000,0.1619,1.0000,0.3931,0.7304,0.4543,0.6969,0.3801,0.3421,0.2863,0.5762,1.0000,0.2567,0.7729,1.0000,1.0000,0.5114,1.0000,0.4582,1.0000,0.8110,0.8194,1.0000,0.4345,0.7963,1.0000
One_c3_98,1.0000,1.0000,1.0000,1.0000,1.0000,0.0166,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
One_CD9_269,0.3041,1.0000,0.8026,1.0000,0.8084,0.7939,1.0000,0.3740,0.6051,0.4132,0.8282,1.0000,1.0000,0.3455,0.1809,0.6722,0.0745,0.6334,1.0000,0.1657,0.3857,0.8290,1.0000,0.4216,0.6414,0.6081,0.3310,1.0000,0.2598,0.3399,0.0870,0.5936,0.1974
One_cetn1_167,0.8267,0.4738,0.2926,0.8170,0.6526,1.0000,0.8291,0.1913,0.4060,1.0000,0.0509,1.0000,0.4005,1.0000,1.0000,0.8220,0.5316,0.8354,0.8058,0.3703,0.8343,0.4113,0.2838,0.8006,0.6512,0.5351,0.3995,0.3891,1.0000,0.1793,0.1008,0.2414,0.3679
One_CFP1,0.6966,1.0000,0.5515,1.0000,0.0367,0.7057,0.4596,1.0000,1.0000,0.4456,1.0000,0.0036,1.0000,1.0000,0.4444,1.0000,0.1886,1.0000,1.0000,1.0000,0.3558,1.0000,1.0000,1.0000,1.0000,0.0331,0.2911,0.4715,0.0635,0.5113,0.1676,0.4134,0.6064
One_cin_177,1.0000,1.0000,0.6567,0.3685,0.3791,0.8284,0.3234,0.2497,0.6584,0.8212,0.6525,0.2579,0.3565,0.5103,0.2456,0.3688,0.1072,0.5155,0.5944,0.6428,0.8136,0.1415,0.6764,0.3929,0.8057,0.1662,1.0000,0.0822,1.0000,0.6456,1.0000,0.0348,0.4056
One_ctgf_301,-,-,-,-,-,1.0000,-,-,-,-,1.0000,-,1.0000,1.0000,-,1.0000,1.0000,1.0000,-,-,0.0530,-,1.0000,1.0000,1.0000,1.0000,-,-,1.0000,-,-,-,-
