Locus	Obs. Het. BP	Obs FST	FST P-value	1-FST quantile
1	0.460282	0.017877	0.123648	0.123648
2	0.117809	-0.00015713	0.411654	0.588346
3	0.447563	0.0144912	0.183546	0.183546
4	0.0416709	-0.00268915	0.343689	0.656311
5	0.405038	-0.00222059	0.358796	0.641204
6	0.467443	0.00457505	0.446307	0.446307
7	0.285028	-0.000753351	0.394706	0.605294
8	0.463806	-0.0010833	0.381162	0.618838
9	0.00656562	-0.000426797	0.467808	0.532192
10	0.309199	-0.00121236	0.381194	0.618806
11	0.402548	0.00657989	0.373952	0.373952
12	0.082085	0.0111988	0.255052	0.255052
13	0.319916	0.00960917	0.295744	0.295744
14	0.496305	0.00523672	0.425966	0.425966
15	0.0648738	0.00157229	0.46889	0.53111
16	0.497167	0.0019375	0.473025	0.526975
17	0.111258	0.00513022	0.426487	0.426487
18	0.429504	0.0030699	0.486466	0.486466
19	0.435567	0.00166789	0.468681	0.531319
20	0.5001	-0.00212071	0.351433	0.648567
21	0.380651	-0.00223069	0.360943	0.639057
22	0.0627037	0.00861854	0.320356	0.320356
23	0.149901	0.000275813	0.421304	0.578696
24	0.236702	0.00233598	0.489835	0.510165
25	0.261179	0.0024426	0.493315	0.506685
26	0.472647	-0.00352447	0.311297	0.688703
27	0.465403	0.00252183	0.490627	0.509373
28	0.484639	0.0026627	0.495259	0.504741
29	0.492048	0.000138185	0.418171	0.581829
30	0.499382	0.000139439	0.418161	0.581839
31	0.222927	-0.00129571	0.379507	0.620493
32	0.422677	0.00104305	0.453068	0.546932
33	0.0439383	-0.00239682	0.351341	0.648659
34	0.0831091	0.00111542	0.452384	0.547616
35	0.406302	0.0135951	0.194681	0.194681
36	0.499934	0.000361402	0.424855	0.575145
37	0.475471	0.00199746	0.474256	0.525744
38	0.116307	4.75267e-005	0.417813	0.582187
39	0.0831941	0.00854137	0.324989	0.324989
40	0.459686	0.0095322	0.302252	0.302252
41	0.296896	0.00418814	0.45485	0.45485
42	0.0440996	0.00418143	0.449663	0.449663
43	0.410606	0.00697902	0.363794	0.363794
44	0.0688162	-0.00312196	0.32872	0.67128
45	0.439624	0.00124283	0.454465	0.545535
46	0.49049	0.000112412	0.417379	0.582621
47	0.459511	0.00273942	0.497617	0.502383
48	0.49945	0.00193357	0.472874	0.527126
49	0.216708	0.00335605	0.478353	0.478353
50	0.446675	0.00306227	0.490763	0.490763
51	0.1606	0.00596664	0.404523	0.404523
52	0.413583	0.00471854	0.4317	0.4317
53	0.133878	0.00144735	0.458512	0.541488
54	0.361851	0.000322366	0.437892	0.562108
55	0.500463	0.00413658	0.459492	0.459492
56	0.498838	0.00267983	0.495841	0.504159
57	0.0087076	0.00118928	0.481836	0.481836
58	0.433356	0.00646098	0.384846	0.384846
59	0.170584	0.00605088	0.401522	0.401522
60	0.374712	-0.000337172	0.417887	0.582113
61	0.456138	-0.000490243	0.399202	0.600798
62	0.0611212	-0.00103135	0.390147	0.609853
63	0.142819	0.00792857	0.34733	0.34733
64	0.0547898	-0.000497473	0.406405	0.593595
65	0.199749	-0.00323981	0.321863	0.678137
66	0.447525	-0.00302854	0.326751	0.673249
67	0.461514	0.00219541	0.480762	0.519238
68	0.499937	0.00124947	0.451888	0.548112
69	0.428509	-0.000615025	0.401128	0.598872
70	0.0248571	-0.00317029	0.374041	0.625959
71	0.227413	0.0117914	0.240026	0.240026
72	0.385424	0.00347445	0.465485	0.465485
73	0.334325	0.000111158	0.426109	0.573891
74	0.112479	0.00250867	0.493161	0.506839
75	0.447631	0.0111513	0.259144	0.259144
76	0.00540764	-0.000604595	0.462597	0.537403
77	0.198343	0.015056	0.169782	0.169782
78	0.197157	0.00171614	0.469029	0.530971
79	0.363399	0.00351915	0.462944	0.462944
80	0.0613904	-0.000558609	0.404265	0.595735
81	0.0129356	0.00420662	0.389686	0.389686
82	0.238735	0.00457737	0.441219	0.441219
83	0.410231	-0.00286696	0.339295	0.660705
84	0.432563	0.0113157	0.252529	0.252529
85	0.33644	0.00808053	0.331766	0.331766
86	0.222623	0.000302338	0.427554	0.572446
87	0.484584	0.00113452	0.44831	0.55169
88	0.0353863	0.00121908	0.492425	0.507575
