Ind	Pop	One_ACBP_79	One_agt_132	One_aldB_152	One_apoe_83	One_c3_98	One_CD9_269	One_cetn1_167	One_CFP1	One_cin_177	One_ctgf_301	One_E2	One_gdh_212	One_GHII_2461	One_ghsR_66	One_GPDH	One_GPDH2	One_GPH_414	One_hcs71_220	One_HGFA	One_HpaI_436	One_HpaI_99	One_Hsp47	One_IL8r_362	One_KCT1_453	One_KPNA_422	One_LEI_87	One_lpp1_44	One_metA_253	One_MHC2_190	One_MHC2_251	One_Mkpro_129	One_ODC1_196	One_Ots208_234	One_Ots213_181	One_p53_576	One_pax7_248	One_PIP	One_Prl2	One_rab1a_76	One_RAG1_103	One_RAG3_93	One_redd1_414	One_RF_112	One_RF_295	One_rpo2j_261	One_sast_211	One_spf30_207	One_srp09_127	One_ssrd_135	One_STC_410	One_STR07	One_SUMO1_6	One_sys1_230	One_taf12_248	One_Tf_ex10_750	One_Tf_ex3_182	One_tshB_92	One_txnip_401	One_U1003_75	One_U1004_183	One_U1009_91	One_U1010_81	One_U1012_68	One_U1013_108	One_U1014_74	One_U1016_115	One_U1024_197	One_U1101	One_U1103	One_U1105	One_U1201_492	One_U1202_1052	One_U1203_175	One_U1204_53	One_U1205_57	One_U1206_108	One_U1208_67	One_U1209_111	One_U1210_173	One_U1212_106	One_U1214_107	One_U1216_230	One_U301_92	One_U401_224	One_U404_229	One_U502_167	One_U503_170	One_U504_141	One_vamp5_255	One_vatf_214	One_VIM_569	One_ZNF_61	One_zP3b	One_Omy77v4	One_One100	One_One102v4	One_One103PT	One_One105	One_One108v4	One_One110v4	One_One111v4	One_One114v4	One_One115	One_Ots103v4	One_Ots107v4	One_uSat60v4	One_CO1	One_Cytb_17	One_Cytb_26
FBM1_001	FBM1	001/001	001/002	001/001	002/002	002/002	001/002	001/002	001/001	001/002	001/001	001/001	001/002	002/002	001/002	002/002	002/002	001/001	002/002	002/002	001/001	001/001	002/002	001/001	002/002	001/001	001/001	002/002	001/001	001/002	001/002	001/001	002/002	002/002	001/002	002/002	002/002	001/001	001/002	001/001	002/002	001/001	001/002	001/002	001/002	001/001	001/001	001/002	002/002	002/002	001/002	001/002	002/002	001/002	001/001	002/002	002/002	001/001	001/001	002/002	002/002	002/002	002/002	001/001	002/002	001/002	002/002	002/002	001/001	002/002	002/002	002/002	001/001	001/002	002/002	002/002	001/001	001/001	001/002	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/001	001/002	002/002	002/002	002/002	002/002	001/002	002/002	100/104	332/340	227/243	278/310	128/140	192/192	270/270	202/278	231/251	209/217	161/169	110/114	116/128	001	002	002
FBM1_002	FBM1	001/001	002/002	001/001	002/002	002/002	001/001	001/002	001/001	001/002	001/001	001/002	002/002	000/000	001/001	001/002	002/002	001/002	002/002	001/001	001/001	001/002	001/001	001/001	002/002	001/001	001/001	001/002	001/001	001/001	002/002	002/002	001/002	000/000	001/002	002/002	002/002	001/001	001/001	001/001	002/002	001/001	002/002	001/002	001/001	002/002	001/001	002/002	002/002	001/001	002/002	002/002	002/002	002/002	001/001	002/002	001/002	001/001	001/001	002/002	002/002	002/002	002/002	002/002	002/002	002/002	002/002	002/002	001/001	002/002	000/000	001/002	001/002	001/002	001/001	002/002	001/001	000/000	002/002	002/002	001/002	002/002	001/001	001/002	001/001	001/001	001/002	001/002	001/002	001/001	002/002	000/000	002/002	002/002	104/104	332/364	223/223	186/322	128/128	200/200	238/270	198/238	259/263	189/205	157/205	114/114	116/128	001	002	002
FBM1_003	FBM1	001/001	001/002	001/001	001/002	002/002	001/002	001/002	001/001	001/002	001/001	001/001	000/000	002/002	001/001	002/002	001/002	001/002	002/002	001/002	001/001	001/002	002/002	001/001	002/002	001/001	001/002	000/000	001/001	001/001	001/002	002/002	001/002	001/002	001/002	001/002	002/002	001/002	001/002	001/002	002/002	001/001	002/002	001/001	001/001	001/001	001/001	001/001	002/002	001/001	001/002	001/001	002/002	001/002	001/001	002/002	002/002	001/001	001/001	001/002	001/001	002/002	002/002	001/002	002/002	000/000	001/002	002/002	002/002	002/002	002/002	001/002	001/002	001/002	001/002	002/002	001/001	001/001	002/002	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/001	001/001	001/002	001/002	002/002	002/002	002/002	002/002	100/104	332/356	235/239	290/358	128/132	204/244	238/250	194/202	235/275	193/209	201/205	114/114	116/116	002	002	001
FBM1_004	FBM1	001/002	001/002	001/002	002/002	002/002	001/001	001/002	001/002	001/002	001/001	001/002	002/002	002/002	001/001	001/002	000/000	001/002	002/002	001/001	001/001	001/002	002/002	001/001	002/002	001/001	002/002	001/001	001/001	000/000	000/000	002/002	001/002	002/002	002/002	002/002	002/002	001/002	001/002	001/001	002/002	001/001	001/002	001/001	000/000	001/002	001/001	001/002	002/002	001/001	001/002	001/002	001/002	001/001	001/002	002/002	002/002	001/001	001/001	001/002	001/002	001/002	002/002	001/002	002/002	000/000	001/002	002/002	001/001	002/002	000/000	001/001	001/002	002/002	001/001	002/002	000/000	001/002	002/002	000/000	000/000	002/002	001/002	002/002	001/001	001/001	001/001	002/002	002/002	001/001	002/002	002/002	002/002	002/002	100/100	356/356	231/243	186/306	128/132	196/200	238/250	210/278	243/263	205/217	157/205	110/080	116/116	001	002	002
FBM1_005	FBM1	000/000	002/002	001/001	000/000	002/002	001/001	002/002	001/001	002/002	001/001	001/002	002/002	002/002	001/001	001/002	002/002	001/001	002/002	001/002	001/001	001/002	001/002	001/001	002/002	001/001	001/001	001/002	001/001	001/002	001/002	002/002	001/002	002/002	001/002	002/002	002/002	001/001	001/002	001/001	001/002	001/001	001/002	001/001	001/001	001/002	001/001	001/001	002/002	001/002	001/002	001/002	001/002	001/001	001/001	002/002	000/000	001/001	001/001	002/002	001/002	001/002	002/002	002/002	001/002	001/002	000/000	002/002	001/002	002/002	001/002	000/000	000/000	001/001	001/001	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	002/002	001/001	001/001	001/001	002/002	001/002	001/001	002/002	002/002	002/002	002/002	104/104	344/352	231/243	274/330	128/132	204/212	262/266	202/202	227/271	209/209	177/185	114/080	116/116	001	002	002
FBM1_006	FBM1	001/001	002/002	001/001	000/000	002/002	001/002	002/002	001/002	002/002	001/001	001/002	001/002	002/002	001/001	002/002	002/002	001/001	002/002	001/001	001/001	001/002	001/002	001/001	002/002	001/001	001/001	002/002	001/001	001/002	000/000	002/002	001/002	001/002	002/002	002/002	002/002	001/001	001/002	001/002	002/002	001/001	002/002	001/001	001/001	001/002	001/001	001/002	002/002	001/002	001/002	001/002	002/002	001/002	001/001	002/002	001/002	001/001	001/001	002/002	001/001	001/002	002/002	001/001	001/001	002/002	002/002	002/002	001/001	002/002	001/002	000/000	001/002	001/001	001/002	002/002	000/000	001/001	001/002	001/002	001/001	002/002	001/001	002/002	001/001	001/001	001/001	002/002	002/002	001/002	001/002	002/002	001/002	002/002	100/106	336/360	223/231	270/290	124/128	196/196	230/238	198/242	247/271	197/217	181/185	114/080	118/128	001	002	002
FBM1_007	FBM1	001/001	001/001	001/001	001/002	002/002	002/002	001/002	001/002	001/002	001/001	001/001	002/002	002/002	001/001	001/002	001/002	002/002	002/002	001/001	001/002	001/002	000/000	001/001	002/002	001/002	001/001	001/002	001/001	001/001	002/002	001/002	001/002	002/002	002/002	002/002	002/002	001/001	001/002	000/000	002/002	001/001	002/002	001/001	001/001	001/002	001/001	001/001	002/002	002/002	002/002	001/001	002/002	001/002	001/001	002/002	002/002	001/001	001/001	002/002	001/001	001/002	002/002	002/002	002/002	002/002	001/001	002/002	001/001	002/002	001/002	001/002	001/001	001/002	001/002	002/002	001/002	001/001	001/002	002/002	001/001	002/002	002/002	001/002	001/001	001/001	001/001	001/002	001/002	001/002	002/002	002/002	001/002	002/002	100/098	328/336	239/243	306/314	128/132	196/204	238/238	266/266	239/283	209/209	161/197	110/110	116/128	001	002	002
FBM1_008	FBM1	001/002	001/002	001/001	001/002	002/002	001/001	002/002	001/001	001/002	001/001	001/001	001/002	002/002	001/002	001/002	002/002	001/002	002/002	001/001	001/001	002/002	002/002	001/001	001/002	001/001	001/001	002/002	001/001	001/001	002/002	001/002	002/002	002/002	002/002	002/002	002/002	001/002	001/001	000/000	002/002	001/001	001/002	001/001	001/001	001/001	001/001	001/002	002/002	001/002	002/002	002/002	001/002	001/001	001/001	002/002	002/002	001/001	001/001	002/002	001/002	001/001	002/002	001/001	002/002	001/002	002/002	002/002	001/001	002/002	002/002	002/002	001/001	001/002	001/002	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	002/002	001/001	001/001	001/001	001/002	001/002	001/001	002/002	002/002	001/001	002/002	100/104	336/336	235/243	290/310	128/128	192/192	270/274	206/286	243/259	213/217	157/157	114/114	116/132	001	002	002
FBM1_009	FBM1	001/001	001/002	001/001	001/002	002/002	001/001	002/002	001/001	001/002	001/001	001/002	002/002	002/002	001/001	001/002	002/002	002/002	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	001/001	002/002	001/001	001/001	002/002	001/002	001/002	002/002	001/002	002/002	002/002	001/001	001/002	001/002	002/002	001/001	000/000	001/001	001/001	000/000	001/001	001/001	002/002	001/001	001/002	002/002	002/002	001/001	001/001	002/002	002/002	001/001	001/001	001/002	002/002	001/002	002/002	001/001	002/002	001/001	002/002	002/002	001/001	002/002	002/002	002/002	001/001	001/002	001/002	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	002/002	001/001	001/001	001/001	002/002	002/002	001/001	001/002	002/002	002/002	002/002	100/104	356/364	223/227	314/314	128/128	196/200	222/270	266/282	255/271	205/217	173/177	110/114	116/116	002	002	001
FBM1_010	FBM1	001/002	001/002	001/001	001/002	002/002	001/001	001/002	001/001	001/002	001/001	002/002	001/001	002/002	002/002	001/002	002/002	001/002	001/001	001/002	001/001	001/001	002/002	001/001	002/002	001/001	000/000	001/002	001/001	001/002	001/002	002/002	002/002	002/002	001/002	002/002	002/002	001/002	001/002	002/002	002/002	001/001	002/002	001/001	001/001	002/002	001/002	001/002	002/002	002/002	002/002	000/000	002/002	001/001	001/002	001/002	001/002	001/001	001/001	002/002	001/002	001/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	001/002	001/002	001/002	001/001	002/002	002/002	002/002	001/001	001/001	000/000	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/001	002/002	002/002	001/001	000/000	002/002	001/002	002/002	100/106	344/348	235/239	278/298	128/132	224/232	234/270	202/290	263/275	197/217	205/205	110/080	128/128	001	002	002
