Locus	Obs_Het_BP	Obs_FST	FST_P_value	1_FST_quantile
1	0.497464	0.00268039	0.221874	0.77812566
2	0.45672383	-0.00055476479	0.15017438	0.84982562
3	0.32405316	0.003748193	0.24309331	0.75690669
4	0.098311917	0.0033685678	0.24493916	0.75506084
5	0.46720264	0.0012669352	0.18418795	0.81581205
6	0.49435809	0.0024843146	0.21671854	0.78328146
7	0.15480205	0.0015534833	0.2001826	0.7998174
8	0.46298519	-0.00030308507	0.15460335	0.84539665
9	0.032842014	0.00052075108	0.33694509	0.66305491
10	0.37525663	0.015531295	0.42963575	0.42963575
11	0.38617122	-0.0011908585	0.14544698	0.85455302
12	0.13941782	0.0016520268	0.2028907	0.7971093
13	0.46480098	0.013975643	0.48776928	0.48776928
14	0.48149746	-0.0014090979	0.13946322	0.86053678
15	0.092968076	0.0083686719	0.36819799	0.63180201
16	0.46569586	0.0084979358	0.35617521	0.64382479
17	0.13398068	0.001189696	0.19386217	0.80613783
18	0.28691713	0.0023742227	0.21526967	0.78473033
19	0.42326364	0.0034235168	0.23515506	0.76484494
20	0.49970419	0.011543454	0.45498034	0.54501966
21	0.36163323	0.0011153704	0.1869141	0.8130859
22	0.12133661	0.0039688654	0.25596313	0.74403687
23	0.1060435	0.020983528	0.29401507	0.29401507
24	0.37004508	-0.00052007155	0.15674117	0.84325883
25	0.33889425	-0.0014728727	0.13876422	0.86123578
26	0.48124469	0.001586969	0.19440009	0.80559991
27	0.49645304	0.043184392	0.016339764	0.016339764
28	0.41343179	0.020478573	0.29897739	0.29897739
29	0.46564222	0.002525298	0.20971363	0.79028637
30	0.42561847	0.035037369	0.060174717	0.060174717
31	0.13856322	0.00073446124	0.18455415	0.81544585
32	0.36304877	0.0066050969	0.31492529	0.68507471
33	0.13244704	0.007925982	0.35377612	0.64622388
34	0.13856497	0.0017989115	0.20597259	0.79402741
35	0.37142579	0.0069671393	0.32568472	0.67431528
36	0.46786375	0.0051068746	0.26879624	0.73120376
37	0.37633174	-0.00099645983	0.14885463	0.85114537
38	0.087963927	0.0169114	0.39857273	0.39857273
39	0.2034577	0.0053813244	0.29222553	0.70777447
40	0.44919218	0.01057831	0.41459682	0.58540318
41	0.29047136	0.008047036	0.35413315	0.64586685
42	0.07095251	-0.00019747245	0.17618428	0.82381572
43	0.43101803	0.0096677615	0.39410179	0.60589821
44	0.091159467	0.0019484118	0.21401083	0.78598917
45	0.36044739	-0.0025766327	0.12204239	0.87795761
46	0.50006642	0.0036704743	0.24478927	0.75521073
47	0.44026847	0.0087768837	0.36670424	0.63329576
48	0.40843152	0.0066693492	0.31675275	0.68324725
49	0.35515921	-0.00052786909	0.15540835	0.84459165
50	0.38746684	0.0080969793	0.35602522	0.64397478
51	0.06584553	0.0028083376	0.2392168	0.7607832
52	0.44774489	0.0087717645	0.36438829	0.63561171
53	0.12192866	0.0029652796	0.23313163	0.76686837
54	0.44725653	0.015380846	0.44623744	0.44623744
55	0.51363171	0.36942163	8.1948401e-154	8.1948401e-154
56	0.4503992	-0.00033926056	0.15423733	0.84576267
57	0.054588992	0.010740686	0.445532	0.554468
58	0.22378356	0.0081708295	0.36467539	0.63532461
59	0.16825714	-0.0004928876	0.16028919	0.83971081
60	0.30875284	0.001209607	0.18902936	0.81097064
61	0.46350671	0.00069207451	0.17276319	0.82723681
62	0.10507752	0.00044098051	0.18334812	0.81665188
63	0.19763749	0.0020301066	0.21418928	0.78581072
64	0.022896628	-0.0016191271	0.33142716	0.66857284
65	0.25457066	0.02559623	0.18531435	0.18531435
66	0.49925748	0.0033942186	0.23826678	0.76173322
67	0.48765381	0.0061367752	0.30125614	0.69874386
68	0.48045997	0.0051390803	0.27385809	0.72614191
69	0.41972956	0.022793066	0.2449017	0.2449017
70	0.11234087	0.0017426004	0.20842504	0.79157496
71	0.22842972	0.013277868	0.49024715	0.49024715
72	0.38317079	0.0049879437	0.2750621	0.7249379
73	0.25460031	0.003891131	0.24970858	0.75029142
74	0.044022865	0.012198096	0.4948111	0.5051889
75	0.49135619	0.0032344725	0.23245121	0.76754879
76	0.05898011	0.016828301	0.3917484	0.3917484
77	0.27348427	0.002414874	0.21697012	0.78302988
78	0.32837062	8.1487512e-005	0.16676877	0.83323123
79	0.39927019	0.0047764316	0.26933336	0.73066664
80	0.11376712	0.00015331107	0.17664742	0.82335258
81	0.032118125	0.00032857051	0.33794966	0.66205034
82	0.25651573	0.015228698	0.43995285	0.43995285
83	0.42271356	0.00068142829	0.17775764	0.82224236
84	0.42247462	0.0044151341	0.25837287	0.74162713
85	0.25425375	0.00098672779	0.18706078	0.81293922
86	0.28492555	0.0019309751	0.20596465	0.79403535
87	0.46888217	0.0041030861	0.24523413	0.75476587
88	0.044846832	0.017188115	0.37430277	0.37430277
