Locus	Obs_Het_BP	Obs_FST	FST_P_value	1_FST_quantile
1	0.408097	0.000523094	0.231616	0.76838369
2	0.12846595	0.029334657	0.14681403	0.14681403
3	0.4287024	0.0046014025	0.32511432	0.67488568
4	0.051496367	-0.0008950808	0.22715906	0.77284094
5	0.39007305	-0.00013647108	0.21852518	0.78147482
6	0.46919634	0.0045132978	0.31998674	0.68001326
7	0.31486047	0.00094588062	0.23908072	0.76091928
8	0.4596397	0.0040626854	0.31032692	0.68967308
9	0.008794854	-0.001694552	0.39073712	0.60926288
10	0.33262796	0.011757931	0.48760581	0.48760581
11	0.45001414	0.019269994	0.30318247	0.30318247
12	0.12331175	-0.0044924502	0.14167852	0.85832148
13	0.27868967	-0.0025212416	0.17014162	0.82985838
14	0.49897607	0.0090708372	0.43269694	0.56730306
15	0.058394306	-0.0011050411	0.21754072	0.78245928
16	0.50008527	0.04216678	0.03083135	0.03083135
17	0.095805409	0.014584336	0.41485285	0.41485285
18	0.45098146	0.0064496387	0.37035972	0.62964028
19	0.42547132	0.0037078361	0.30319779	0.69680221
20	0.49616323	0.015970968	0.38708763	0.38708763
21	0.37334345	0.017334857	0.33935118	0.33935118
22	0.13296206	0.023243524	0.24084107	0.24084107
23	0.16371714	0.00089039395	0.23573134	0.76426866
24	0.23521988	-0.0023535478	0.17090775	0.82909225
25	0.30008382	-0.0034424216	0.15514975	0.84485025
26	0.49002105	-0.0018962745	0.17918489	0.82081511
27	0.44428838	0.036994547	0.05800831	0.05800831
28	0.46862488	0.03711016	0.055384733	0.055384733
29	0.48853133	0.013639784	0.44665542	0.44665542
30	0.48773164	0.018784685	0.31958712	0.31958712
31	0.25210863	-0.0032208578	0.15575531	0.84424469
32	0.43644286	0.0027846239	0.28177924	0.71822076
33	0.051611256	0.0061191259	0.39305784	0.60694216
34	0.10505036	0.013754273	0.43958458	0.43958458
35	0.43540848	0.0025700918	0.27694519	0.72305481
36	0.49951187	0.0027031209	0.27356964	0.72643036
37	0.48228422	-0.0024102678	0.17053744	0.82946256
38	0.13736186	0.0053519005	0.33963064	0.66036936
39	0.084798662	-0.0047569339	0.14165328	0.85834672
40	0.46035511	0.0023790964	0.27067733	0.72932267
41	0.26207883	-0.0003089199	0.21131754	0.78868246
42	0.046531843	-0.00094662794	0.23160172	0.76839828
43	0.42658668	0.027091433	0.16002608	0.16002608
44	0.062899354	0.0037111602	0.32286417	0.67713583
45	0.44708436	-0.0027674364	0.16720983	0.83279017
46	0.48334368	-0.0028892017	0.16207092	0.83792908
47	0.46714017	0.012593901	0.46914782	0.46914782
48	0.49681887	-0.0048801523	0.12964389	0.87035611
49	0.19634091	-0.0013484932	0.18791742	0.81208258
50	0.46477316	0.0063421057	0.36661929	0.63338071
51	0.26063483	0.018031355	0.33831566	0.33831566
52	0.40920355	0.0081380341	0.41594304	0.58405696
53	0.18295097	-0.0020638159	0.17706842	0.82293158
54	0.36802955	-0.0029049979	0.16734329	0.83265671
55	0.52148206	0.28528704	4.3734784e-076	4.3734784e-076
56	0.49827966	0.0015910415	0.24869111	0.75130889
57	0.005255771	0.0021268131	0.48967892	0.48967892
58	0.43595688	0.0053053232	0.34259785	0.65740215
59	0.15149769	0.0020125375	0.2619925	0.7380075
60	0.39681287	0.0085704268	0.42948285	0.57051715
61	0.42692265	0.003110728	0.28921669	0.71078331
62	0.058089655	0.0029721613	0.30833519	0.69166481
63	0.17451788	-9.6409897e-005	0.21486163	0.78513837
64	0.0648224	0.0040432537	0.33006945	0.66993055
65	0.20371717	0.0010008151	0.2336024	0.7663976
66	0.46162087	0.0095774615	0.45166596	0.54833404
67	0.45422518	0.0069331156	0.38270885	0.61729115
68	0.49818504	-0.00014587112	0.2122801	0.7877199
69	0.41202273	-0.0031631669	0.16119095	0.83880905
70	0.017414589	0.0032374444	0.47893679	0.47893679
71	0.2441068	-0.0024336108	0.16891476	0.83108524
72	0.41435266	-0.0011718245	0.1974668	0.8025332
73	0.40220185	0.010989965	0.49301714	0.50698286
74	0.1134962	0.0012849572	0.24973267	0.75026733
75	0.47097245	0.0081350906	0.41170282	0.58829718
76	0	0	-1	-1
77	0.26065099	0.0087562899	0.42643372	0.57356628
78	0.18346415	0.00614116	0.35516568	0.64483432
79	0.37183636	0.0010715535	0.24592614	0.75407386
80	0.120518	0.0011190798	0.24579971	0.75420029
81	0.034572978	-0.0003324572	0.34684079	0.65315921
82	0.26701782	0.018062098	0.33652836	0.33652836
83	0.45488738	0.0071799654	0.38912004	0.61087996
84	0.41107796	0.0072895513	0.39365848	0.60634152
85	0.34953647	-3.8129544e-005	0.22344317	0.77655683
86	0.21891759	0.015364823	0.41335239	0.41335239
87	0.48852995	0.0014791194	0.24667819	0.75332181
88	0.036615487	0.0034067292	0.42322011	0.57677989
