Locus	Obs. Het. BP	Obs FST	FST P-value	1-FST quantile
1	0.409084	0.00293446	0.257329	0.742671
2	0.13153	0.0519449	0.104021	0.104021
3	0.430531	0.00882917	0.381933	0.618067
4	0.051531	-0.000221618	0.231615	0.768385
5	0.389875	-0.000643495	0.19475	0.80525
6	0.471343	0.00904687	0.399279	0.600721
7	0.314898	0.00106459	0.207595	0.792405
8	0.459484	0.00372602	0.289043	0.710957
9	0.00879212	-0.00200547	0.390345	0.609655
10	0.33571	0.0208305	0.416293	0.416293
11	0.454718	0.0294142	0.258441	0.258441
12	0.123298	-0.00460394	0.148967	0.851033
13	0.278534	-0.00308206	0.151598	0.848402
14	0.500873	0.0128229	0.453572	0.546428
15	0.0585191	0.00102908	0.250231	0.749769
16	0.519284	0.0775794	0.0414814	0.0414814
17	0.0961277	0.0178879	0.41427	0.41427
18	0.450421	0.0052141	0.317518	0.682482
19	0.42547	0.00370452	0.277269	0.722731
20	0.494011	0.011684	0.435816	0.564184
21	0.378223	0.030012	0.264348	0.264348
22	0.135441	0.0411182	0.159835	0.159835
23	0.163695	0.000752352	0.223497	0.776503
24	0.235085	-0.00293052	0.156252	0.843748
25	0.299959	-0.00386058	0.136102	0.863898
26	0.490682	-0.000545966	0.198746	0.801254
27	0.459335	0.0685393	0.0557738	0.0557738
28	0.484337	0.0683475	0.0517982	0.0517982
29	0.491597	0.0197915	0.409424	0.409424
30	0.49517	0.0335241	0.228883	0.228883
31	0.252113	-0.00320399	0.151021	0.848979
32	0.437928	0.00616554	0.330346	0.669654
33	0.0519348	0.0123101	0.494484	0.505516
34	0.106136	0.0238465	0.320912	0.320912
35	0.4379	0.00824434	0.373112	0.626888
36	0.500999	0.00566258	0.308982	0.691018
37	0.482512	-0.0019374	0.179549	0.820451
38	0.138117	0.0107913	0.435605	0.564395
39	0.0847937	-0.00481622	0.145975	0.854025
40	0.462816	0.00768374	0.37179	0.62821
41	0.262278	0.000451647	0.208674	0.791326
42	0.0466362	0.00129226	0.268111	0.731889
43	0.435633	0.0472942	0.133461	0.133461
44	0.0631407	0.00751974	0.381717	0.618283
45	0.44727	-0.00235162	0.175205	0.824795
46	0.483092	-0.00341124	0.156185	0.843815
47	0.474258	0.0274137	0.279715	0.279715
48	0.496776	-0.00496749	0.128912	0.871088
49	0.196889	0.00144004	0.229804	0.770196
50	0.465527	0.00795065	0.377741	0.622259
51	0.261661	0.0218808	0.38383	0.38383
52	0.409704	0.00935063	0.385526	0.614474
53	0.182823	-0.00276391	0.159733	0.840267
54	0.367903	-0.00324968	0.154782	0.845218
55	0.647354	0.424256	9.09957e-101	9.09957e-101
56	0.497579	0.000184737	0.208146	0.791854
57	0.00528364	0.00739111	0.329642	0.329642
58	0.435417	0.00407117	0.286867	0.713133
59	0.152106	0.00600551	0.332238	0.667762
60	0.395879	0.00623136	0.323297	0.676703
61	0.42767	0.00485347	0.300396	0.699604
62	0.05818	0.00452064	0.320933	0.679067
63	0.175107	0.00326782	0.265014	0.734986
64	0.0651873	0.00961788	0.425534	0.574466
65	0.203448	-0.000319766	0.199188	0.800812
66	0.464988	0.0167498	0.443441	0.443441
67	0.457781	0.0146478	0.485931	0.485931
68	0.498653	0.000793538	0.218305	0.781695
69	0.411864	-0.00354958	0.147746	0.852254
70	0.0174833	0.00715277	0.360775	0.360775
71	0.243963	-0.00302525	0.154221	0.845779
72	0.414729	-0.000263468	0.200669	0.799331
73	0.40565	0.0193971	0.42191	0.42191
74	0.113443	0.000819622	0.240127	0.759873
75	0.475899	0.0184035	0.418439	0.418439
76	0	0	-1	-1
77	0.262913	0.0172864	0.463491	0.463491
78	0.184484	0.0116334	0.431244	0.568756
79	0.372007	0.00152965	0.23568	0.76432
80	0.120403	0.000167229	0.22808	0.77192
81	0.0345602	-0.000701152	0.342668	0.657332
82	0.269251	0.0262067	0.320599	0.320599
83	0.45736	0.0125477	0.47181	0.52819
84	0.411539	0.00840151	0.366402	0.633598
85	0.349626	0.000217232	0.20459	0.79541
86	0.21856	0.013755	0.469074	0.530926
87	0.489368	0.00319009	0.267605	0.732395
88	0.0367799	0.00786086	0.471412	0.471412
